,,,pop_served,weighted_value,avg_contamination
,,,sum,sum,
county,chemical_species,year,,,
Abbeville,Arsenic,2005,6354,15885.0,2.5
Abbeville,Arsenic,2006,6044,15110.0,2.5
Abbeville,Arsenic,2007,5937,14842.5,2.5
Abbeville,Arsenic,2008,5992,14980.0,2.5
Abbeville,Arsenic,2009,6260,15650.0,2.5
Abbeville,Arsenic,2010,5844,14610.0,2.5
Abbeville,Arsenic,2011,5945,14862.5,2.5
Abbeville,Arsenic,2012,5609,14022.5,2.5
Abbeville,Arsenic,2013,5482,13705.0,2.5
Abbeville,Arsenic,2014,5549,13872.5,2.5
Abbeville,Arsenic,2015,5471,13677.5,2.5
Abbeville,Arsenic,2016,5363,13407.5,2.5
Abbeville,Nitrates,2005,6354,5223520.0,822.0837267862763
Abbeville,Nitrates,2006,6278,2967630.0,472.70309015610064
Abbeville,Nitrates,2007,6076,2938000.0,483.5418038183015
Abbeville,Nitrates,2008,6113,2280169.9999999995,373.0034353018157
Abbeville,Nitrates,2009,6260,2989570.0,477.5670926517572
Abbeville,Nitrates,2010,6211,3396290.0000000005,546.8185477378845
Abbeville,Nitrates,2011,6211,4009840.0,645.6029624859121
Abbeville,Nitrates,2012,5609,1906210.0,339.84845783562133
Abbeville,Nitrates,2013,5606,2500279.9999999995,446.00071352122717
Abbeville,Nitrates,2014,5572,2999490.0,538.3147882268486
Abbeville,Nitrates,2015,5572,2892550.0,519.1223977027997
Abbeville,Nitrates,2016,5487,2717540.0,495.26881720430106
Abbeville,Uranium,2007,95,123.5,1.3
Acadia,Arsenic,2008,1450,1450.0,1.0
Acadia,Arsenic,2009,1450,1812.5,1.25
Acadia,Arsenic,2010,1450,0.0,0.0
Acadia,DEHP,2010,3768,2976.7200000000003,0.79
Adair,Arsenic,1999,19286,9910.0,0.5138442393446023
Adair,Arsenic,2000,19286,1982.0,0.10276884786892046
Adair,Arsenic,2001,19286,991.0,0.05138442393446023
Adair,Arsenic,2002,21715,6630.0,0.3053189039834216
Adair,Arsenic,2003,19986,2332.0,0.11668167717402181
Adair,Arsenic,2004,21715,4158.0,0.19148054340317752
Adair,Arsenic,2005,17304,0.0,0.0
Adair,Arsenic,2006,17304,0.0,0.0
Adair,Arsenic,2007,17304,0.0,0.0
Adair,Arsenic,2008,17329,12.5,0.0007213341796987709
Adair,Arsenic,2009,17329,12.5,0.0007213341796987709
Adair,Arsenic,2010,17329,12.5,0.0007213341796987709
Adair,Arsenic,2011,17329,25.0,0.0014426683593975417
Adair,Arsenic,2012,18029,356.25,0.0197598313827722
Adair,Arsenic,2013,20092,7533.349999999999,0.37494276328887116
Adair,Arsenic,2014,17329,25.0,0.0014426683593975417
Adair,Arsenic,2015,39417,22113.0,0.5610015982951518
Adair,Arsenic,2016,40198,23753.1,0.5909025324643017
Adair,DEHP,1999,1648,494.4,0.3
Adair,DEHP,2000,3463,7095.5,2.048946000577534
Adair,DEHP,2003,1982,594.6,0.3
Adair,DEHP,2005,18952,494.4,0.02608695652173913
Adair,DEHP,2006,3463,1789.7,0.5168062373664453
Adair,DEHP,2008,25,1.25,0.05
Adair,DEHP,2009,1982,594.6,0.3
Adair,DEHP,2012,3488,1207.6,0.3462155963302752
Adair,DEHP,2014,25,6.5,0.26
Adair,DEHP,2015,24095,6122.85,0.25411288649097324
Adair,DEHP,2016,22113,5528.25,0.25
Adair,Nitrates,1999,22415,9033060.0,402.9917465982601
Adair,Nitrates,2000,22415,4650270.0,207.46241356234665
Adair,Nitrates,2001,22415,11945250.0,532.913227749275
Adair,Nitrates,2002,22415,4705580.0,209.92995761766673
Adair,Nitrates,2003,22415,8343850.0,372.24403301360695
Adair,Nitrates,2004,22415,2884540.0,128.68793218826679
Adair,Nitrates,2005,22415,3298420.0,147.15235333482045
Adair,Nitrates,2006,22415,8449460.0,376.955610082534
Adair,Nitrates,2007,22415,3530460.0000000005,157.50434976578185
Adair,Nitrates,2008,22440,12543940.0,558.9991087344029
Adair,Nitrates,2009,22440,8673490.0,386.51916221033866
Adair,Nitrates,2010,20792,8913830.0,428.7144093882262
Adair,Nitrates,2011,20792,6110620.0,293.8928434013082
Adair,Nitrates,2012,20792,2664660.0,128.15794536360139
Adair,Nitrates,2013,20834,6202220.0,297.69703369492174
Adair,Nitrates,2014,20834,4003050.0,192.14025151195162
Adair,Nitrates,2015,44570,37317780.0,837.2847206641238
Adair,Nitrates,2016,42922,32451060.0,756.0472484972742
Adair,Uranium,2003,781,10590.36,13.56
Adair,Uranium,2015,22894,17460.7,0.7626758102559623
Adair,Uranium,2016,22113,11056.5,0.5
Adams,Arsenic,1999,428822,598846.4,1.3964917844700133
Adams,Arsenic,2000,359914,186544.25999999998,0.5183023166645365
Adams,Arsenic,2001,347363,186081.2,0.5356966631448946
Adams,Arsenic,2002,443472,417863.10000000003,0.9422536259335427
Adams,Arsenic,2003,373636,459386.17000000004,1.2295018948923553
Adams,Arsenic,2004,382447,311992.99,0.8157809840317743
Adams,Arsenic,2005,389751,190854.38999999998,0.48968287445061076
Adams,Arsenic,2006,364726,231131.15000000002,0.6337117452553425
Adams,Arsenic,2007,451500,360481.27,0.7984081284606867
Adams,Arsenic,2008,450446,262260.69999999995,0.582224506378123
Adams,Arsenic,2009,402853,317409.21,0.7879033046793744
Adams,Arsenic,2010,224673,238034.69999999998,1.0594717656327195
Adams,Arsenic,2011,271577,195632.85,0.7203586828045085
Adams,Arsenic,2012,325708,241789.74,0.7423512471293305
Adams,Arsenic,2013,265510,165490.06,0.6232912508003465
Adams,Arsenic,2014,321447,214233.25,0.6664652337710416
Adams,Arsenic,2015,333238,214305.9,0.6431016270653407
Adams,Arsenic,2016,374343,212582.65,0.5678819959235246
Adams,DEHP,1999,11051,4095.7,0.37061804361596234
Adams,DEHP,2000,381874,125443.15000000001,0.32849356070326863
Adams,DEHP,2001,6743,2634.5,0.3907014681892333
Adams,DEHP,2002,57319,34752.25000000001,0.6062954692161414
Adams,DEHP,2003,298530,96232.04999999999,0.3223530298462466
Adams,DEHP,2004,155003,47056.450000000004,0.30358412417824177
Adams,DEHP,2005,14361,5658.3,0.39400459578023816
Adams,DEHP,2006,367124,114072.95,0.3107204922587464
Adams,DEHP,2007,273722,84878.20000000001,0.31008906847093043
Adams,DEHP,2008,245199,75832.95,0.3092710410727613
Adams,DEHP,2009,404540,123630.20000000001,0.3056068621149948
Adams,DEHP,2010,204351,61705.049999999996,0.30195619302083176
Adams,DEHP,2011,85612,28837.650000000005,0.33684121384852594
Adams,DEHP,2012,337320,101196.00000000003,0.3000000000000001
Adams,DEHP,2013,61476,13681.2,0.2225453835643178
Adams,DEHP,2014,46558,14182.71,0.3046245543193436
Adams,DEHP,2015,296862,97518.54000000002,0.32849788790751266
Adams,DEHP,2016,245304,75959.25,0.3096535319440368
Adams,Nitrates,1999,208424,304605770.0,1461.4716635320308
Adams,Nitrates,2000,365621,327139780.0,894.7510673621044
Adams,Nitrates,2001,276415,325423160.0,1177.2992059041658
Adams,Nitrates,2002,481832,544804240.0,1130.6933537000448
Adams,Nitrates,2003,482355,627988420.0,1301.9216552124474
Adams,Nitrates,2004,484126,701518350.0,1449.0408488699222
Adams,Nitrates,2005,195228,407023910.0,2084.86441494048
Adams,Nitrates,2006,484132,482106310.0,995.8158312195848
Adams,Nitrates,2007,483794,492953770.0,1018.9332029748199
Adams,Nitrates,2008,483599,421055310.0,870.6703487807047
Adams,Nitrates,2009,484573,549539380.0,1134.069335270434
Adams,Nitrates,2010,484859,524363170.0,1081.4755836232803
Adams,Nitrates,2011,486939,599637580.0,1231.442911740485
Adams,Nitrates,2012,415545,657496280.0,1582.2504903199413
Adams,Nitrates,2013,398791,640818010.0,1606.9018859502846
Adams,Nitrates,2014,398340,596635980.0,1497.8058442536526
Adams,Nitrates,2015,397349,641613640.0,1614.7357612577357
Adams,Nitrates,2016,521976,592104630.0,1134.3522115959354
Adams,Uranium,1999,112,1672.1599999999999,14.929999999999998
Adams,Uranium,2000,1945,2898.0499999999997,1.4899999999999998
Adams,Uranium,2001,4098,186848.94,45.59515373352855
Adams,Uranium,2002,9169,94192.86,10.272969789508124
