,,Arsenic,Nitrates,Uranium,DEHP
,,max,max,max,max
fips,year,,,,
6001,2000,1.0142713645071164,347.24113672275905,1.6173741698706745,1.5
6001,2001,1.0142834811540453,370.5845898648254,0.6404570124025163,1.5
6001,2002,1.006312258015544,489.1999826223216,1.9000919354769739,1.5612739048579896
6001,2003,1.0,477.8531476318669,0.7773846657014728,1.5
6001,2004,1.0014284194538743,504.3016844862774,1.2805578428480424,1.5
6001,2005,1.0093819239740471,553.1889243380824,0.8459398096884256,1.5
6001,2006,1.0031423407442033,557.7688658917621,0.8095425022534645,1.5
6001,2007,1.0223802007626845,484.59957371874725,0.6295101484411613,1.5
6001,2008,1.0,400.9024976797524,0.5,1.5
6001,2009,1.0,355.33429636188845,0.5,1.5
6001,2010,1.0,334.26457172275116,0.5,1.5
6001,2011,1.0003954260391041,333.73295661347555,0.8660455169589742,2.383456924148719
6001,2012,1.0,374.95437372653595,1.091507300946736,1.5
6001,2013,1.0,480.91569521878694,0.0,1.5
6001,2014,1.0,427.6116461113927,0.0,1.5
6001,2015,0.9945717181956412,383.4197562142837,0.4035543637250122,1.5
6001,2016,1.0,386.16993478775044,2.1331039046066835,1.5
6003,2000,1.0,30.0,0.0,0.0
6003,2001,1.0,20.0,1.55,0.0
6003,2002,1.0,20.0,0.75,0.0
6003,2003,1.0,23.761467889908257,0.7625925925925926,0.0
6003,2004,1.0,31.580882352941178,2.0505263157894733,0.0
6003,2005,1.0,20.0,2.509356725146198,0.0
6003,2006,1.0,25.555555555555557,3.2999999999999994,0.0
6003,2007,1.0,20.0,0.0,0.0
6003,2008,1.0,27.709923664122137,0.0,0.0
6003,2009,1.0,19.906542056074766,0.0,0.0
6003,2010,1.0,30.03676470588235,0.0,1.5
6003,2011,1.0,20.0,0.0,0.0
6003,2012,1.0,20.0,0.0,0.0
6003,2013,1.0,36.69975186104218,0.5,0.0
6003,2014,1.0,33.80716058135413,1.66,0.0
6003,2015,1.0,238.55595667870037,0.22,0.0
6003,2016,1.0,209.20241049273307,0.0,0.0
6005,2000,1.0,205.79037691476515,0.0,0.0
6005,2001,1.0,38.56423173803527,2.01,0.0
6005,2002,1.7069834998838018,492.325526096778,0.8746451104100946,1.5
6005,2003,1.0,61.86588921282799,0.6929667345553293,1.5
6005,2004,1.0,39.87814784727863,0.75,0.0
6005,2005,1.2064896046148301,522.0286672061034,0.5,0.0
6005,2006,1.0,270.81696779261586,1.49,0.0
6005,2007,1.31044776119403,1434.293401302747,8.743189189189188,0.0
6005,2008,1.9125869262865092,1544.0186315451333,7.33,0.0
6005,2009,1.0,1417.9073525451117,4.3100000000000005,0.0
6005,2010,1.0,1493.334231079989,2.2566101694915255,0.0
6005,2011,1.0,2035.326052039833,0.5593774940143655,0.0
6005,2012,0.0,2490.594871794872,0.49981961668545655,0.0
6005,2013,1.0,40.608387096774194,3.3178694158075603,0.0
6005,2014,1.0,33.13354838709677,8.386000000000001,0.0
6005,2015,1.0,300.0637376237624,2.462307692307692,0.0
6005,2016,1.0,210.45610239769243,1.4269467787114845,0.0
6007,2000,1.0,1374.4581300173147,0.8402870233892068,1.5
6007,2001,1.7148344322699507,419.72531219366664,0.8981069880617443,1.5
6007,2002,1.453866016583535,329.8770694270516,1.1029284729997417,0.0
6007,2003,1.0160000515092202,1884.2253204154429,1.4916832494439891,0.0
6007,2004,2.2674763273439016,2367.0307623718236,0.9175421203891689,1.5
6007,2005,2.4441895583042794,1896.58067823546,0.4336053099540962,1.5
6007,2006,1.0019360002978461,2199.1297099033013,1.2212895887670858,1.5
6007,2007,2.4317589196009255,2463.5641898843573,1.3189265848583924,1.5
6007,2008,0.7608866529310491,2171.504880232449,1.2962235543018337,1.5
6007,2009,1.1096713375796177,1561.5677603496779,0.44545266342861684,1.5
6007,2010,3.510753059462753,1667.673504080943,1.0940354330708661,1.5
6007,2011,1.040025537155997,1060.0130198321774,0.5070490656540422,1.5
6007,2012,1.0828656383571826,1548.0156615100059,0.6337963104131727,1.5
6007,2013,1.407345381386798,1380.9390961581169,2.024653465346535,0.0
6007,2014,0.8268124995180035,1418.3902108843158,1.031399266488469,1.5
6007,2015,1.0,1766.9029365479973,0.5127199396909159,0.0
6007,2016,1.1280693415600955,1335.3347756205264,0.47396195756069587,1.5
6009,2000,1.0,194.1253156781107,0.8173873873873874,0.0
6009,2001,1.0057405281285878,113.0546265328874,1.49,0.0
6009,2002,1.0027744692776572,192.45044041504218,0.9863805604546345,0.0
6009,2003,1.002964576011729,132.72525165194838,1.2497875182127247,0.0
6009,2004,1.006609547123623,166.48473458115987,1.2817686112320417,0.0
6009,2005,1.0149574039149378,220.92863052973888,6.7327218934911235,0.0
6009,2006,1.0005161179329476,204.19443964772924,6.457689075630252,0.0
6009,2007,1.0067679350278238,163.78344230708487,1.5213104744011274,0.0
6009,2008,1.0381261772237624,167.08548457772105,3.91,1.5
6009,2009,1.132547429741006,170.7191643230213,10.0,0.0
6009,2010,0.974942726231386,200.38963479568187,1.5771428571428572,0.0
6009,2011,1.0045400572745686,158.3807271538713,4.903456958149031,0.0
6009,2012,1.0,151.12218307657028,0.0,0.0
6009,2013,1.0,95.2275733460546,2.396588486140725,1.5
6009,2014,1.0,71.4663827198053,12.02,0.0
6009,2015,1.0,221.69186190165996,1.25,0.0
6009,2016,1.0,269.3708482593121,0.8726070226070226,0.0
6011,2000,10.503441945846719,752.9823118058412,2.1162662962171406,0.0
6011,2001,4.8422473426691415,764.1216860576006,0.6105417979888939,0.0
6011,2002,2.3,1014.8529246027274,0.75,0.0
6011,2003,10.606313281715307,670.3956684714702,0.75,0.0
6011,2004,30.0,838.7402544111612,5.26,0.0
6011,2005,3.8000000000000003,533.4853977844914,4.775674418604651,0.0
6011,2006,5.1354666490904295,1451.3195226300384,0.5101474010861132,0.0
6011,2007,2.654314133703447,640.8921120604014,1.4296145913895335,0.0
6011,2008,5.765603733229632,849.5897079276773,1.2177981651376146,0.0
6011,2009,8.020237841675542,676.1841843830717,2.558994614003591,0.0
6011,2010,8.408750706613906,589.738479486681,0.0,0.0
6011,2011,6.888488668767822,779.6361620641,0.5,0.0
6011,2012,8.31505158578525,611.9208984375,0.0,0.0
6011,2013,2.33,998.2992327365729,0.0,0.0
6011,2014,4.561514195583596,605.8429241261722,0.0,0.0
6011,2015,5.8095854922279795,121.24505928853755,0.9,0.0
6011,2016,3.5735567970204842,641.4972293265132,2.0347335890878093,0.0
6013,2000,1.0,370.80864051203037,1.4946751776430456,1.5
6013,2001,1.9943103079193754,630.3511246898645,3.3632035661218427,1.5
6013,2002,1.0511718363899398,2837.5954269293534,1.268221251819505,1.5
6013,2003,0.9461064559450819,636.073410301159,3.5977504725897917,1.5
6013,2004,1.0406283145657307,682.0078607741763,4.823209446590846,1.5
6013,2005,1.0234178181883524,972.0301644053771,5.986881408065619,1.5
6013,2006,1.0089870657258562,321.6244812769117,5.232585013941549,1.5
6013,2007,1.0077565707063552,679.2461363680459,4.712790004964421,1.5
6013,2008,1.0191554630274273,411.9646014638427,0.27,1.5
6013,2009,1.0197091015116853,383.13643559499656,7.32,1.5
6013,2010,1.2034068715667243,415.75555224734285,0.5204740012682308,1.5
6013,2011,1.0072245718945365,301.8135216734958,4.642148760330579,1.5
6013,2012,1.0782871402183623,365.4821071627473,5.450208620954133,1.5
6013,2013,1.633763866721838,611.134729193198,3.17041041041041,0.0
6013,2014,1.0726483357452967,499.94730708821,3.698909090909091,1.5
6013,2015,7.374803695150114,815.2347091125339,3.36,1.5
6013,2016,1.3357708127245276,237.8380656278094,5.145639049454078,0.0
6015,2000,0.0,774.6788263283108,0.2817844886753604,0.0
6015,2001,1.0,777.5881612090681,0.45932674325407424,1.5
6015,2002,1.0,659.9628079962808,0.0,0.0
6015,2003,0.0,713.7783672266431,0.5,0.0
6015,2004,1.0,2478.041775456919,0.4372580645161291,0.0
6015,2005,1.0,628.8065951321644,0.6717054085155351,0.0
6015,2006,1.0,958.0979827089337,0.38999999999999996,0.0
6015,2007,1.0,736.8703274039701,0.5220550458715596,0.0
6015,2008,1.0,1056.6846153846154,1.31,0.0
6015,2009,0.0,1115.6530612244899,0.0,0.0
6015,2010,1.0,748.6820613911574,0.0,0.0
6015,2011,1.0,724.6929238985314,1.2200000000000002,0.0
6015,2012,0.0,1484.348404255319,1.2200000000000002,0.0
6015,2013,0.0,882.8476821192053,0.0,0.0
6015,2014,1.0,1519.5290858725762,0.5331428571428571,0.0
6015,2015,1.0,3443.3807829181496,0.5,0.0
6015,2016,0.0,1259.288206559665,0.0,0.0
6017,2000,1.162234274336817,212.48681230895178,0.8168931468045589,1.5
6017,2001,1.0,201.26791275306562,2.0111427237039745,1.5
6017,2002,1.2212378041539318,196.0357455616591,4.506404529650377,1.5
6017,2003,1.190565293848917,196.43100394191907,3.533033596588615,1.5
6017,2004,1.0,133.20617349165155,3.384442076042235,0.0
6017,2005,2.0070381679389313,235.76296296296297,4.034788273615635,1.5
6017,2006,2.0632675154582345,208.4659554294277,2.9543745167774857,1.5
6017,2007,1.4588938714499253,112.09198813056379,2.4439156626506024,1.5
6017,2008,1.0,176.44278606965173,5.106731739059704,0.0
6017,2009,1.8313725490196078,214.2584745762712,6.48,1.5
6017,2010,3.741911421911422,94.591023807798,10.45,0.0
6017,2011,1.2277881619937694,164.65732087227414,21.03,0.0
6017,2012,1.0055969403392813,176.1788617886179,15.11,0.0
6017,2013,1.2171336032388664,48.847530323612766,19.235407166123778,1.5
6017,2014,1.0363475457504978,199.10344449094114,4.948970792767733,1.5
6017,2015,1.0380067567567568,196.0539537973895,17.341214953271027,1.5
6017,2016,1.015824541921155,86.26802884615384,18.796620103249314,1.5
6019,2000,1.9463744014028734,5778.3226679552645,1.822307816789135,1.5
6019,2001,10.540382995021066,5807.7361574770775,6.739552868931108,1.5
6019,2002,1.7743299882753718,4721.598350393379,2.9509889865615846,1.5
6019,2003,9.081690318806668,4927.903169734942,2.827838880263924,1.5
6019,2004,1.2006624984776737,5035.743848406417,2.1839707449526284,1.5
6019,2005,7.793053836570611,4865.549297312121,3.687017647982963,1.5
6019,2006,4.774528187988634,5133.148087187886,4.457691749896064,1.5
6019,2007,3.3094296816436426,5343.443313244273,2.192099796476946,1.5
6019,2008,2.8003996089847565,5217.537716237815,2.7706817355251676,1.5
6019,2009,2.3018706772435986,5006.292704008157,4.689121275687975,1.5
6019,2010,1.8306933951987563,4679.251375733498,2.83229371290509,1.5
6019,2011,1.1819950843733449,4749.641485170968,7.62975722518947,1.5
6019,2012,1.211289295292273,4699.75265320325,5.583453289240581,1.5
6019,2013,1.5721249150552912,5068.198711805537,5.575730868932087,1.5
6019,2014,1.702053883975994,5423.182058938465,0.5940249094755382,1.5
6019,2015,1.6170325293835965,5156.918197254902,1.2933508649186605,1.5
6019,2016,1.166832296529306,4382.680453128956,4.183993524299696,1.5
6021,2000,1.4204130499850345,2433.9786472826395,1.506724720410065,0.0
6021,2001,1.1844444444444444,2068.5193532582066,0.6461921929388365,0.0
6021,2002,1.5400771538791256,1867.6938157191232,1.331278438739303,0.0
6021,2003,2.454758677588544,4778.439564260053,0.7842091388400703,0.0
6021,2004,2.210162544169611,2100.908511501246,2.230124858115778,0.0
6021,2005,2.2303850497997737,2117.389112903226,0.7057302383939774,0.0
6021,2006,1.559575221238938,2353.3578834060395,1.1252913060328125,0.0
6021,2007,0.8688421159922535,2768.183837348369,1.1860955133498485,0.0
6021,2008,2.3193862226575255,2033.0408738548274,2.75,0.0
6021,2009,1.6382373636683476,2508.54611540209,1.4,0.0
6021,2010,1.0605776444111028,2557.9186562552663,1.3973022871314411,0.0
6021,2011,1.1480354879594423,2591.2365979667798,8.43,0.0
6021,2012,1.0472255017709564,2680.3100949384866,1.714847414070029,0.0
6021,2013,1.0236898779612347,2104.990271260158,0.0,0.0
6021,2014,1.0,5510.923788993153,3.783566101694915,0.0
6021,2015,2.124129837033063,2225.923559199421,1.3932734889287852,0.0
6021,2016,1.6005602240896357,2622.1817144306365,0.7713917525773196,0.0
6023,2000,2.2527338234578123,1084.7272810469478,0.5458520110531163,0.0
6023,2001,0.922121778886118,1670.5423247263307,0.30971137521222414,1.5
6023,2002,1.2464897432219193,2341.033629292056,1.4394835262689225,0.0
6023,2003,0.0,2265.4273524309624,0.3789320115963715,1.5
6023,2004,1.0,518.6740514725392,0.4415767526713578,0.0
6023,2005,1.0,758.5198973042362,0.5422857142857143,0.0
6023,2006,2.3873590348806712,526.7219973935112,0.6022814563781718,0.0
6023,2007,1.0,601.510103944735,0.8280139096340554,0.0
6023,2008,1.0,1690.7120093928213,0.9175158907404225,0.0
6023,2009,1.6814106395696353,1700.3792723263507,0.5017681458548332,0.0
6023,2010,1.0,2250.738219031113,0.6360646627936347,0.0
6023,2011,3.0393023255813953,592.2238414456426,0.5274996777381515,0.0
6023,2012,1.4573170731707317,1750.3837412587413,0.18,0.0
6023,2013,0.0,244.0215716486903,0.0,0.0
6023,2014,1.0,321.864406779661,0.0,0.0
6023,2015,1.0,277.2611464968153,0.5,0.0
6023,2016,3.1809499747347147,627.0381699694108,1.9502040816326531,0.0
6025,2000,2.0,1434.2133985698156,7.1499999999999995,0.0
6025,2001,3.45,230.0,0.0,0.0
6025,2002,1.53,230.0,2.47,1.5
6025,2003,1.0179842330012043,242.55337786050586,4.714466221394941,0.0
6025,2004,1.0013328890369877,211.94622977649726,7.641677167176692,1.5
6025,2005,1.713698761245864,221.26845569362914,19.18636358254898,1.5
6025,2006,1.752824768213493,240.58984167698569,5.730733325116805,0.0
6025,2007,1.151059982472294,282.525970109242,7.3140769619182935,0.0
6025,2008,1.0,264.53138169687907,0.0,0.0
6025,2009,1.0,312.6916938615088,0.0,0.0
6025,2010,1.0,230.0,4.33,0.0
6025,2011,1.0,230.0,0.0,1.5
6025,2012,1.7298122960386841,221.40294044355844,0.0,0.0
6027,2000,4.03716429699842,413.17798235519757,1.4871077504725898,0.0
6027,2001,1.0,1346.8,7.592932330827068,0.0
6027,2002,1.0,575.9695173581711,3.264294770206022,1.5
6027,2003,8.987545587162655,559.0201976794156,5.878611111111111,0.0
6027,2004,43.53125,415.427319211103,5.257969379532635,1.5
6027,2005,2.731922816519973,577.6892124928147,4.8624820143884895,1.5
6027,2006,3.1185156492097925,576.7490441107899,5.881978070175439,1.5
6027,2007,22.312254901960785,449.0900921141317,5.548532868959513,0.0
6027,2008,3.966194331983806,616.7927887825506,9.30478102189781,0.0
6027,2009,4.318922651933701,625.9968448037862,14.095754716981132,1.5
6027,2010,6.988146214099217,436.0796128012643,6.129217338030326,1.5
6027,2011,5.450528846153845,394.8153230417381,13.027857847976307,1.5
6027,2012,8.299169741697417,529.732370433305,13.045697674418605,1.5
6027,2013,10.39875,643.616975901045,9.325155475439388,1.5
6027,2014,1.4669696969696968,520.400156924284,11.289336492890994,1.5
6027,2015,1.799939301972686,419.04543853469534,4.141974080771549,1.5
6027,2016,9.203310104529617,412.13131427279916,22.08491395793499,0.0
6029,2000,1.2833113567186893,1653.3910282986114,7.903208097303177,1.5
6029,2001,2.001400024171688,2406.864290399762,8.762390130067663,1.4977322827926558
6029,2002,1.6280404382669094,2694.036365180788,7.598474172092533,1.5066622432260424
6029,2003,2.142051636359622,2252.983470351705,2.6705844951351128,1.499915692742199
6029,2004,1.7416408862950548,2447.1222208229747,2.0997033877104,1.6034346679220985
6029,2005,1.3976970724636133,2704.3405131713803,7.600389876006647,1.5
6029,2006,2.5468423726754272,3168.7574675787573,6.007534939340496,1.5
6029,2007,2.402398171311485,1983.326327038091,6.858540230236036,1.5158263805473493
6029,2008,2.5192785690557966,1637.1483471674505,40.69821060287357,1.5
6029,2009,3.555188862939632,2145.257490247074,8.997987735202253,1.7701736324338644
6029,2010,3.783226432009833,1961.1656883338674,7.260221516754847,1.5
6029,2011,3.1929419669543275,2057.5651419318015,2.201969590150233,1.4966356332326445
6029,2012,2.4584024562220193,2105.2385204860475,4.444212222897456,1.5
6029,2013,4.644583832372109,2072.989838937832,6.560132875742362,1.5
6029,2014,2.9496877277345885,2081.4653912517224,3.7445077700398213,1.5
6029,2015,3.992530566018447,2296.7638653692097,3.0452563180142103,1.5
6029,2016,3.995562399428387,1778.8759314105728,3.7501210408233323,1.5
6031,2000,19.259833358582036,419.5212604173003,1.8976835621319847,1.5
6031,2001,12.766883805484017,502.5718384872631,0.0,0.0
6031,2002,14.51254216317332,302.5841706328221,3.1388244612487664,1.5
6031,2003,12.005867845649492,277.5745010340998,0.6261501443695862,1.5
6031,2004,10.48795898114456,389.75176204619,1.6922798505974772,1.5
6031,2005,10.763489423272388,376.9536492743068,4.857336969024453,1.5
6031,2006,8.569313563081046,508.08720172914786,5.172445893132779,1.5
6031,2007,11.738780092466683,680.7028040136845,5.0683545167896495,0.0
6031,2008,5.103509353001661,893.1871140811759,2.2424932846114753,0.0
6031,2009,4.169193390243683,784.2940844022521,0.5031670119294235,1.5
6031,2010,4.324795416191764,840.3179122690586,3.68197233852701,1.5
6031,2011,5.170614703323931,570.3402630280406,3.0972083575159606,0.0
6031,2012,4.731042675456508,716.2350253444706,2.0003613498885704,1.5
6031,2013,5.942560139784364,909.8226729716276,6.504941134498751,0.0
6031,2014,5.96615823264886,1302.7126427271223,3.224189385677936,1.5
6031,2015,5.137851646791596,1027.5468988348316,1.1879626331638766,0.0
6031,2016,4.861095809355857,890.2222916121627,1.1179159489276653,1.5
6033,2000,1.2084978503114854,829.6190751028064,0.8620834207764951,0.0
6033,2001,1.020486757337151,564.1569890202703,0.9818750443230977,0.0
6033,2002,3.3944005991128523,677.4475621614113,0.5543798648847115,1.5
6033,2003,1.9451746020737248,952.6709507332345,2.8821736959186453,1.5
6033,2004,1.8631106902122447,918.914241048165,1.2233334696213916,0.0
6033,2005,1.1598651176528503,865.3646672635034,0.6192974345617919,1.5
6033,2006,1.1294555969526776,879.6016246111303,1.316739120229097,0.0
6033,2007,1.1289941171356537,483.8367870113224,1.020772187865619,0.0
6033,2008,1.1333355257388407,597.1676883475308,0.47512588467339595,1.5
6033,2009,0.9480909090909091,2745.5385872924103,0.8931255176568028,0.0
